CODBARRAS,NOME,APRES,DESCRICAO,Código,Qtde.Est., Vlr.Mínimo , Valor Fracão , Vlr.Máximo ,CÓDIGO2,PRINCIPIOATIVO,Portaria Controlados ANS,GENERICO, Vlr. Balcão , Vlr.Compra ,Laboratório,Frac.,IPI,NEGPOS,GRUPOS,CODNBMSH,RETEMPISCOFINS,PCIVA,DESC LAB,EST MIN
7897595900029,AAS,100mg cx 30 comp,AAS - 100mg cx 30 comp,000205524,19, 10.09 ,13.42, 13.42 ,,ACIDO ACETILSALICILICO,NA,N, 12.08 , 9.95 ,000492,1,0,-,SEM TARJA,30049024,N, 33.00 ,SANOFI-AVENTIS,2
7897595901927,AAS,100mg cx 120 comp,AAS - 100mg cx 120 comp,000212952,1, 38.75 ,51.54, 51.54 ,,ACIDO ACETILSALICILICO,NA,N, 40.99 , 38.22 ,000492,1,0,-,SEM TARJA,30049024,N, 33.00 ,SANOFI-AVENTIS,0
7897595900593,AAS,100mg cx 200 comp e.m,AAS - 100mg cx 200 comp e.m,000091022,3, 69.49 ,4621, 92.42 ,,ACIDO ACETILSALICILICO,NA,N, 3.95 , 3.43 ,000492,20,0,-,SEM TARJA,30049024,N, 33.00 ,SANOFI-AVENTIS,1
7897595903693,AAS PROTECT,100mg cx 30 comp rev,AAS PROTECT - 100mg cx 30 comp rev,000225937,5, 10.61 ,14.11, 14.11 ,,ACIDO ACETILSALICILICO,NA,N, 11.68 , 10.47 ,000492,1,0,-,TARJADO,30049024,N, 33.00 ,SANOFI-AVENTIS,2
7896006211808,A CURITYBINA,"0,1g/ml sol top fa x 5ml","A CURITYBINA - 0,1g/ml sol top fa x 5ml",000205685,0, 6.64 ,8.83, 8.83 ,,ACIDO ACETILSALICILICO,NA,N, 7.51 , -   ,000180,1,0,-,NENHUM,30049099,N, 38.24 ,UNIAO QUIMICA,0
7896006212508,A CURITYBINA,280mg/g fr 12 past x 13g,A CURITYBINA - 280mg/g fr 12 past x 13g,000235137,0, 63.3 ,84.19, 84.19 ,,ACIDO ACETILSALICILICO,NA,N, 4.63 , 4.45 ,000180,1,0,-,NENHUM,30049099,N, 38.24 ,UNIAO QUIMICA,0
7896004817477,A SAUDE DA MULHER,sus fr 150ml,A SAUDE DA MULHER - sus fr 150ml,000210409,0, 9.03 ,12.01, 12.01 ,,PASSIFLORA+PLUMERIA LANCIFOLIA+SALICILATO DE SODIO,NA,N, 10.21 , -   ,000067,1,0,-,NENHUM,30049042,N, 38.24 ,EMS,0
7891058010362,AAS PROTECT,100mg cx 10 com rev,AAS PROTECT - 100mg cx 10 com rev,000244230,0, 3.53 ,4.69, 4.69 ,,ACIDO ACETILSALICILICO,NA,N, 3.99 , 3.53 ,000492,1,0,-,NENHUM,0,N, -   ,SANOFI-AVENTIS,5
7896331702545,ABC,10mg/g creme derm bg 20g,ABC - 10mg/g creme derm bg 20g,000224390,0, 9.01 ,11.99, 11.99 ,,CLOTRIMAZOL,NA,N, 10.19 , -   ,000354,1,0,-,NENHUM,0,S, 33.00 ,HERTZ,0
7896331702583,ABC,10mg/ml sol spray fr 30ml,ABC - 10mg/ml sol spray fr 30ml,000224391,0, 22.44 ,29.85, 29.85 ,,CLOTRIMAZOL,NA,N, 25.37 , -   ,000354,1,0,-,NENHUM,0,S, 33.00 ,HERTZ,0
7894164004928,ABCALCIUM B12,"12ui+42+7,5+0,075mg+1,5mcg sus or fr 200ml+cm","ABCALCIUM B12 - 12ui+42+7,5+0,075mg+1,5mcg sus or fr 200ml+cm",000239750,0, 17.22 ,22.9, 22.9 ,,CIANOCOBALAMINA+ERGOCAL CIFEROL+FOS CALCIO TRI+CLOR DE CALCIO+FLUO DE SODIO,NA,N, 19.47 , 14.07 ,000535,1,0,-,NENHUM,0,S, -   ,AIRELA,0
7894164000418,ABCLER,10+50+100mg/ml sol or cx 12flac x 10ml,ABCLER - 10+50+100mg/ml sol or cx 12flac x 10ml,000235242,0, 20.91 ,27.81, 27.81 ,,CITRATO DE COLINA+METIONINA+BETAINA,NA,N, 23.64 , 17.77 ,000535,1,0,-,INJETAVEL,0,S, -   ,AIRELA,0
