GRUPO,LAB,DESCLAB,MEDICAMENTO,DESCRIÇÃO,CODBARRAS,ESTOQUE,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01
SEM TARJA,492,SANOFI-AVENTIS                ,205524,A A S - 100MG CX 30 COMP INF,7897595900029,19,20,17,20,16,8,15,14,12,15,15,9,10,12,15,19,7,19,14,25,24,18,21,19,11,19,24,24,20,21,18,20,26,13,19,10,13,24,14,29,19,24,23,23,28,22,22,18,16,44,36,35,45,33,38,33,32,17,24,23,31
SEM TARJA,492,SANOFI-AVENTIS                ,212952,A A S - 100MG FR 120 COMP INF,7897595901927,1,4,2,5,2,1,1,4,2,1,1,3,2,5,6,2,0,7,0,4,2,1,4,1,0,4,4,5,2,7,2,7,5,4,5,4,3,6,13,5,6,3,9,9,2,3,5,5,5,16,6,9,7,11,13,12,5,12,10,8,3
SEM TARJA,492,SANOFI-AVENTIS                ,91022,A A S (FRAÇÃO) - 1BL X 10 COMP INF,7897595900593,3,13,13,19,14,4,20,27,17,6,21,8,3,22,20,9,0,1,9,8,17,10,20,8,14,7,6,7,10,17,10,5,21,3,10,13,29,23,16,10,5,10,23,17,3,21,6,8,4,40,44,21,35,0,0,1,17,45,44,21,12
TARJADO,492,SANOFI-AVENTIS                ,225937,A A S PROTECT - 100MG CX 30 COMP,7897595903693,5,15,20,14,14,6,23,18,24,21,14,21,12,28,29,36,11,33,27,30,30,43,26,30,28,21,27,24,36,30,25,35,33,43,37,27,27,27,36,34,25,20,24,28,24,17,21,26,21,29,32,27,23,32,30,29,32,31,25,35,29
PSICOTROPICO,17,B-MS                          ,225253,ABILIFY - 10MG CX 10 COMP,7896016806322,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,3,1,0,0,0,0,0,4,3,0,2,2,2,2,2,0,1,2,2,2,3,2,3,3,1,3,4,2,3,0,0,0,0,1,2,1,0,1,0,0,2,2,4
TARJADO,163,BIOLAB SANUS                  ,211600,ABLOK - 100MG CX 30 COMP,7896241225530,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,2,0,0,1,0,0,0,2,2,2,6,1,0,0,0,1,0,2,3,0,1,1,1,2,1,2,0,0,2,0,1,1,3,0,0,2,5,0,1,0,1,1,0
TARJADO,163,BIOLAB SANUS                  ,239701,ABLOK - 25MG CX 30 COMP,7896241221853,3,4,3,6,3,1,9,0,5,5,8,2,6,10,15,7,3,20,11,9,4,5,7,4,4,9,14,13,7,6,14,7,15,4,8,9,16,12,10,12,9,5,12,8,8,11,10,7,7,10,15,13,14,17,12,12,10,9,6,10,11
TARJADO,163,BIOLAB SANUS                  ,211599,ABLOK - 50MG CX 30 COMP,7896241225523,2,4,4,7,5,2,12,5,6,5,7,8,7,10,14,9,1,10,8,10,5,6,5,5,5,4,5,13,10,6,6,9,9,11,9,7,7,13,8,12,13,12,11,16,7,7,6,5,9,29,12,15,18,24,15,15,10,16,12,16,9
TARJADO,163,BIOLAB SANUS                  ,211602,ABLOK PLUS - 100+25MG CX 30 COMP,7896241225547,3,0,2,1,2,0,1,1,0,0,1,2,2,3,2,3,0,4,4,2,2,2,4,3,2,5,5,3,5,4,6,3,5,7,5,3,2,4,7,2,2,3,4,4,5,5,3,2,4,11,2,11,7,5,11,1,7,10,6,6,2
TARJADO,163,BIOLAB SANUS                  ,226712,"ABLOK PLUS - 25+12,5MG CX 30 COMP",7896241225257,7,2,0,5,0,4,6,5,5,4,0,3,0,5,4,8,4,5,4,3,5,12,10,10,4,5,7,4,6,9,9,7,4,8,6,9,5,2,6,11,6,7,5,5,6,8,5,8,6,0,0,0,0,0,0,0,6,4,9,5,6
TARJADO,163,BIOLAB SANUS                  ,211601,"ABLOK PLUS - 50+12,5MG CX 30 COMP",7896241225127,2,4,9,5,4,2,7,7,2,6,9,6,9,21,18,18,6,17,26,19,13,14,23,10,15,18,14,9,16,12,13,12,14,11,12,17,9,32,16,25,20,24,18,22,18,17,20,16,15,32,39,29,38,30,37,37,32,32,29,23,17
TARJADO,209,FARMOQUIMICA                  ,218911,ABRILAR - 7MG XPE FR 100ML+CM,7898040320973,22,6,7,10,17,12,22,25,11,11,7,5,7,13,13,9,5,26,46,19,19,18,15,11,10,20,22,16,32,44,20,37,28,22,29,14,23,6,11,13,28,43,33,37,16,30,11,9,11,18,13,22,16,30,33,22,28,25,9,13,4
TARJADO,209,FARMOQUIMICA                  ,228022,ABRILAR - 7MG XPE FR 200ML+CM,7898040321970,9,1,2,5,4,2,7,13,8,7,4,3,8,6,4,2,2,12,4,5,5,4,5,5,2,4,4,4,4,9,12,7,15,4,8,4,1,3,11,3,5,9,4,9,2,1,4,1,6,12,8,12,12,13,14,16,13,6,1,6,6
SEM TARJA,4,ACHE                          ,205468,ACCUVIT - CX 30 COMP REV,7896658000010,1,1,1,1,1,1,1,1,0,0,2,0,1,1,0,2,0,1,3,1,1,1,0,1,1,2,2,1,2,3,1,1,1,1,1,2,0,0,1,5,2,1,5,3,0,2,1,3,3,1,5,3,3,3,2,3,3,3,2,2,2
GENERICOS,466,EMS GENÉRICO                    ,221135,ACEBROFILINA - 25MG FR 120ML+CM,7896004710464,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,4,1,2,2,2,0,0,0,0
GENERICOS,314,MEDLEY                        ,222016,ACEBROFILINA - 25MG XPE FR 120ML+DOS,7896422509251,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,1,0,1,0,0,1,0,1,2,1,1,3,0,1,0,1,0,0,4,9,7,3,0,1,4,4,2,4,0,1,3,5,2,3,5,3,2,4,2,1
